,제목,내용,링크,발행 날짜,감성,감성 점수
0,"팔란티어 주가 8월 1일 하락 마감, AI 4대 플랫폼과 주가 동향 분석","팔란티어 테크놀로지스(Palantir Technologies Inc)가 지난 1일 기준 나스닥 시장에서 하락세를 기록했다.... 출처 : 네이버페이 증권 팔란티어의 시가총액은 약 3,641억 달러(한화 약 505조 원)로 집계되었으며, 지난... ",https://www.job-post.co.kr/news/articleView.html?idxno=166570,2025-08-04 10:28:00,negative,0.9978534579277039
1,[주간증시전망] 세제 쇼크·실적 변수 겹친 코스피···변동성 확대,"AMD, 팔란티어 등 AI 하드웨어, 소프트웨어 업체의 실적을 통해 그 모멘텀을 이어갈 수 있는지가 관건""이라고 말했다. 한 연구원은 ""국내에서도 현대로템, LIG넥스원 등 방산주, NAVER, 카카오 등 인터넷주, 에코프로비엠 등... ",https://www.seoulfn.com/news/articleView.html?idxno=602812,2025-08-04 10:27:00,positive,0.9829278588294983
2,[뉴욕 주간 프리뷰] ②'배드이즈배드' 국면 전환? 평온함에 균열,"한편 S&P500 기업의 60%가 분기 결산을 공개한 가운데 이번 주에는 팔란티어테크놀로지스(종목코드: PLTR, 4일)과 AMD(종목코드 동일, 5일), 캐터필러(CAT, 5일) 월트디즈니(DIS, 6일)가 실적을 내놓는다. 주식시장의 AI 투자... ",https://www.newspim.com/news/view/20250804000288,2025-08-04 10:20:00,neutral,0.9271736145019531
3,꿈에서 깬 월가…경기 침체 경고음에 선물↓,"팔란티어 테크놀로지스는 미 육군과 100억 달러 규모의 소프트웨어 및 데이터 계약을 체결한 후 4일에 실적을 보고한다. 칩 대기업인 AMD는 5일에 실적을 보고할 예정이며, 이는 27일에야 발표될 엔비디아 실적에 간단한... ",https://www.fortunekorea.co.kr/news/articleView.html?idxno=49301,2025-08-04 10:10:00,positive,0.9977818131446838
4,[주간 뉴욕증시] 고용둔화에 불안 커진 증시…실적 시즌 변동성 확대,"기업 실적 발표로는 히임스앤허스, 팔란티어, 타이슨푸드 등이 예정돼 있다. 5일에는 7월 S&P 글로벌 미국 서비스업 PMI(구매관리자지수)와 종합 PMI 최종치, ISM 서비스업 지수가 공개된다. 이날은 AMD, 루시드 그룹, 화이자... ",https://www.newsis.com/view/NISX20250804_0003277094,2025-08-04 10:10:00,neutral,0.9997850060462952
5,트럼프發 무역협상 언제까지…팔란티어·AMD 실적 주목 [글로벌마켓레이...,"이번 주에는 팔란티어 테크놀로지(4일), 어드밴스드 마이크로 디바이시스(AMD, 5일)의 실적이 공개된다. 미국 소비심리를 반영하는 코스트코 홀세일과 맥도날드(6일)의 성적표도 투자자 주목 대상이다. 바이오... ",https://biz.heraldcorp.com/article/10546060?ref=naver,2025-08-04 09:54:00,neutral,0.9520815014839172
6,"팔란티어, 8월 1일 154.27달러 마감, 2.58% 하락","미국 동부시간 1일 기준, 네이버페이 증권에 따르면, 팔란티어 테크놀로지스의 주가는 장중 154.27달러를 기록하며 4.08달러(2.58%) 하락 마감했다. 팔란티어는 1일 155.05달러로 장을 시작하여 장중 한때 158.... ",https://www.topstarnews.net/news/articleView.html?idxno=15757272,2025-08-04 09:42:00,negative,0.9566947817802429
7,"코스피,'세제 개편 불확실성' 속 보합…변동성 확대 전망","한지영 키움증권 연구원은 ""금요일 미국 고용 쇼크 여진, 미국 7월 ISM 서비스업 PMI, 미국 인공지능(AI) 주 실적(AMD·팔란티어 등), 국내 기업 실적(현대로템·LIG넥스원·NAVER 등), 국내 세제 개편안 불확실성 등으로... ",https://view.asiae.co.kr/article/2025080409395401025,2025-08-04 09:39:00,negative,0.7716026902198792
8,"[개장시황] 코스피, 장 초반 보합세…'세제개편안' 후유증 여전","한지영 키움증권 연구원은 ""이번주 한국 증시는 금요일 발표된 미국 고용지표 충격의 여진, 미국 7월 ISM 서비스업 PMI 발표, AI 관련주 실적 발표(AMD, 팔란티어 등), 국내 기업 실적(현대로템, LIG넥스원, NAVER... ",https://www.newspim.com/news/view/20250804000148,2025-08-04 09:29:00,neutral,0.9984452128410339
9,[뉴욕 마켓 브리핑](4일),"6개월 ▲기업 실적발표: 팔란티어 테크놀로지, 로우스, 온 세미컨덕터, 버텍스 파마슈티컬스, 사이먼 프라퍼티그룹 본 기사는 인포맥스 금융정보 단말기에서 2시간 더 빠른 07시 24분에 서비스된 기사입니다.",https://news.einfomax.co.kr/news/articleView.html?idxno=4368058,2025-08-04 09:28:00,neutral,0.9997962117195129
